idturk,day,treatment,batch,durationinseconds,initialendowment,initialendowmentupdated,borrowsavings1,borrowsavings2,pointssaving1,pointssaving2,pointsdebt1,pointsdebt2,balance_a1,balance_a2,balance_a3,balance_a4,balance_a5,balance_a6,errorbdm1,errorbdm2,errorbdm3,errordebtintro1,errordebtintro2,errordebtintro3,errordebtintro4,errordebtintro5,errordebtendowment1,errordebtendowment2,errordebtendowment3,errordebtendowment4,errordebtendowment5,errordebtendowment6,errordebtendowment7,errordebtendowment8,errordebtpayment1,errordebtpayment2,errordebtpayment3,error_count,error_initial,error_main,error_main_total,error_count_total,instruction_confusion,demo_sex,demo_age,demo_state,demo_race,demo_educ,demo_collegeplus,demo_studentloan,demo_holddebt,demo_covid,end_reasoning,end_debtimportance,end_balancesimportance,end_rateimportance,end_hindsight,orderlottery,lotterychoice,timechoice,perco_orig,ind_optimal_ia,ind_optimal_ia_all,debtsaving1balanceupdated2,debtsaving2balanceupdated2,debtsaving3balance,debtsaving4balance,debtdebt1balanceupdated,debtdebt2balanceupdated,controlsaving1balanceupdated2,controlsaving2balanceupdated2,controlsaving3balanceupdated,controlsaving4balanceupdated,controlsaving5balance,controlsaving6balance,pointssaving3,pointssaving4,i,demo_white,demo_age_median
A1160COTUR26JZ,0,0,2,316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,1,"No, i did not.",0,50,Texas,White,College graduate with Associate's Degree (2 year),1,1,1,1,I decided to put all my endowment into the account that would yield the highest interest to give me more of a return.,Not at all important,Extremely important,Extremely important,Putting my money into the account with the highest interest rate.,2,0.75,1,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
A1160COTUR26JZ,1,0,2,801,500,500,NA,NA,500,0,NA,NA,2500,400,600,4300,900,1500,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,"No, i did not.",0,50,Texas,White,College graduate with Associate's Degree (2 year),1,1,1,1,I decided to put all my endowment into the account that would yield the highest interest to give me more of a return.,Not at all important,Extremely important,Extremely important,Putting my money into the account with the highest interest rate.,NA,0.75,1,1,1,1,NA,NA,NA,NA,NA,NA,2500,400,600,4300,900,1500,0,0,1,1,1
A1160COTUR26JZ,2,0,2,815,600,600,NA,NA,600,0,NA,NA,3100,400,600,4300,900,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"No, i did not.",0,50,Texas,White,College graduate with Associate's Degree (2 year),1,1,1,1,I decided to put all my endowment into the account that would yield the highest interest to give me more of a return.,Not at all important,Extremely important,Extremely important,Putting my money into the account with the highest interest rate.,NA,0.75,1,1,1,1,NA,NA,NA,NA,NA,NA,3100,400,600,4300,900,1500,0,0,1,1,1
A1160COTUR26JZ,3,0,2,616,720,720,NA,NA,720,0,NA,NA,3820,400,600,4300,900,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"No, i did not.",0,50,Texas,White,College graduate with Associate's Degree (2 year),1,1,1,1,I decided to put all my endowment into the account that would yield the highest interest to give me more of a return.,Not at all important,Extremely important,Extremely important,Putting my money into the account with the highest interest rate.,NA,0.75,1,1,1,1,NA,NA,NA,NA,NA,NA,3820,400,600,4300,900,1500,0,0,1,1,1
A1160COTUR26JZ,4,0,2,499,864,864,NA,NA,864,0,NA,NA,4684,400,600,4300,900,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"No, i did not.",0,50,Texas,White,College graduate with Associate's Degree (2 year),1,1,1,1,I decided to put all my endowment into the account that would yield the highest interest to give me more of a return.,Not at all important,Extremely important,Extremely important,Putting my money into the account with the highest interest rate.,NA,0.75,1,1,1,1,NA,NA,NA,NA,NA,NA,4684,400,600,4300,900,1500,0,0,1,1,1
A11S8IAAVDXCUS,0,0,2,302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,8,8,"No, not at all",0,30,Mississippi,White,College graduate with Associate's Degree (2 year),1,0,1,0,I tried to put the most amount in the account with the highest percentage of return,Not at all important,Very important,Very important,I would put it all in the two highest savings accounts,2,0.6,1,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,0
A11S8IAAVDXCUS,1,0,2,514,500,500,NA,NA,150,100,NA,NA,2150,500,750,4400,900,1500,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,3,0,3,8,8,"No, not at all",0,30,Mississippi,White,College graduate with Associate's Degree (2 year),1,0,1,0,I tried to put the most amount in the account with the highest percentage of return,Not at all important,Very important,Very important,I would put it all in the two highest savings accounts,NA,0.6,1,0.30000001,0,0,NA,NA,NA,NA,NA,NA,2150,500,750,4400,900,1500,150,100,2,1,0
A11S8IAAVDXCUS,2,0,2,428,568,568,NA,NA,284,0,NA,NA,2434,500,1034,4400,900,1500,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,0,2,8,8,"No, not at all",0,30,Mississippi,White,College graduate with Associate's Degree (2 year),1,0,1,0,I tried to put the most amount in the account with the highest percentage of return,Not at all important,Very important,Very important,I would put it all in the two highest savings accounts,NA,0.6,1,0.5,0,0,NA,NA,NA,NA,NA,NA,2434,500,1034,4400,900,1500,284,0,2,1,0
A11S8IAAVDXCUS,3,0,2,465,667,667,NA,NA,367,50,NA,NA,2801,550,1234,4450,900,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,8,8,"No, not at all",0,30,Mississippi,White,College graduate with Associate's Degree (2 year),1,0,1,0,I tried to put the most amount in the account with the highest percentage of return,Not at all important,Very important,Very important,I would put it all in the two highest savings accounts,NA,0.6,1,0.5502249,0,0,NA,NA,NA,NA,NA,NA,2801,550,1234,4450,900,1500,200,50,2,1,0
A11S8IAAVDXCUS,4,0,2,441,778,1328,NA,NA,1000,50,NA,NA,3801,50,1434,4528,900,1500,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,2,8,8,"No, not at all",0,30,Mississippi,White,College graduate with Associate's Degree (2 year),1,0,1,0,I tried to put the most amount in the account with the highest percentage of return,Not at all important,Very important,Very important,I would put it all in the two highest savings accounts,NA,0.6,1,0.75301206,0,0,NA,NA,NA,NA,NA,NA,3801,50,1434,4528,900,1500,200,78,2,1,0
